0, 0, 11
0, 1, 2
0, 2, 5
0, 3, 15
0, 4, 16
0, 5, 12
0, 6, 7
0, 7, 14
0, 8, 13
0, 9, 3
0, 10, 6
0, 11, 10
0, 12, 8
0, 13, 9
0, 14, 1
0, 15, 4
1, 0, 10
1, 1, 13
1, 2, 7
1, 3, 8
1, 4, 15
1, 5, 3
1, 6, 5
1, 7, 4
1, 8, 1
1, 9, 12
1, 10, 14
1, 11, 9
1, 12, 2
1, 13, 16
1, 14, 6
1, 15, 11
2, 0, 1
2, 1, 16
2, 2, 3
2, 3, 9
2, 4, 11
2, 5, 10
2, 6, 6
2, 7, 2
2, 8, 4
2, 9, 5
2, 10, 8
2, 11, 15
2, 12, 14
2, 13, 12
2, 14, 7
2, 15, 13
3, 0, 4
3, 1, 14
3, 2, 12
3, 3, 6
3, 4, 8
3, 5, 9
3, 6, 1
3, 7, 13
3, 8, 7
3, 9, 11
3, 10, 2
3, 11, 16
3, 12, 3
3, 13, 10
3, 14, 15
3, 15, 5
4, 0, 5
4, 1, 9
4, 2, 1
4, 3, 11
4, 4, 12
4, 5, 15
4, 6, 4
4, 7, 8
4, 8, 3
4, 9, 6
4, 10, 13
4, 11, 2
4, 12, 16
4, 13, 14
4, 14, 10
4, 15, 7
5, 0, 6
5, 1, 7
5, 2, 8
5, 3, 4
5, 4, 10
5, 5, 13
5, 6, 14
5, 7, 16
5, 8, 12
5, 9, 1
5, 10, 11
5, 11, 5
5, 12, 15
5, 13, 2
5, 14, 9
5, 15, 3
6, 0, 12
6, 1, 3
6, 2, 14
6, 3, 10
6, 4, 6
6, 5, 11
6, 6, 2
6, 7, 7
6, 8, 15
6, 9, 16
6, 10, 9
6, 11, 4
6, 12, 5
6, 13, 13
6, 14, 8
6, 15, 1
7, 0, 16
7, 1, 15
7, 2, 13
7, 3, 2
7, 4, 3
7, 5, 1
7, 6, 9
7, 7, 5
7, 8, 10
7, 9, 14
7, 10, 7
7, 11, 8
7, 12, 6
7, 13, 11
7, 14, 4
7, 15, 12
8, 0, 9
8, 1, 6
8, 2, 16
8, 3, 5
8, 4, 13
8, 5, 4
8, 6, 11
8, 7, 3
8, 8, 14
8, 9, 10
8, 10, 15
8, 11, 1
8, 12, 7
8, 13, 8
8, 14, 12
8, 15, 2
9, 0, 14
9, 1, 4
9, 2, 10
9, 3, 3
9, 4, 2
9, 5, 7
9, 6, 12
9, 7, 6
9, 8, 5
9, 9, 8
9, 10, 16
9, 11, 13
9, 12, 9
9, 13, 1
9, 14, 11
9, 15, 15
10, 0, 15
10, 1, 8
10, 2, 11
10, 3, 7
10, 4, 1
10, 5, 5
10, 6, 10
10, 7, 9
10, 8, 6
10, 9, 2
10, 10, 12
10, 11, 3
10, 12, 13
10, 13, 4
10, 14, 16
10, 15, 14
11, 0, 13
11, 1, 1
11, 2, 2
11, 3, 12
11, 4, 14
11, 5, 16
11, 6, 8
11, 7, 15
11, 8, 11
11, 9, 9
11, 10, 4
11, 11, 7
11, 12, 10
11, 13, 5
11, 14, 3
11, 15, 6
12, 0, 2
12, 2, 4
12, 11, 12
12, 14, 5
13, 1, 12
13, 3, 13
13, 7, 1
13, 10,10
13, 13, 3
13, 15, 8
14, 0, 8
14, 2, 9
14, 4, 4
14, 6, 3
14, 9, 7
14, 12, 11
14, 14, 13
15, 1, 5
15, 3, 14
15, 7, 11
15, 10, 1
15, 11, 6
15, 15, 10


